Transfection,Replicate,Receptor ,Peptide ,0,1.00E-12,1.00E-11,1.00E-10,0.000000001,0.00000001,0.0000001,0.000001,0.00001,0.0001,atp
1,1,BfloR5,GnRH,518.803256,179.0115112,430.7657512,608.3529424,322.64931,376.4755344,572.648412,679.428672,661.388064,1926.287587,7412.034572
1,2,BfloR5,GnRH,500.5052832,429.7369816,287.186256,376.0355112,250.9428384,537.1228576,607.5728984,840.6168736,1090.857602,3138.303948,7953.446
1,1,BfloR5,CRZ,465.105036,608.5373624,717.232592,2181.057567,4356.453102,7497.41364,11996.31838,13834.20527,16396.48729,14038.59116,4720.084442
1,2,BfloR5,CRZ,697.8442128,519.0180728,1615.079717,3668.434514,4625.475766,7215.20883,12251.40486,13197.05522,17648.01895,17338.63329,8033.986136
1,3,BfloR5,CRZ,429.3477024,733.6673128,1687.481313,3202.100978,5880.148969,6676.891973,15472.86657,16408.0328,17147.49102,12126.03773,7691.963514
1,1,BfloR5,CRZ-ext,518.9168744,698.4410176,412.5751112,393.534102,806.55552,788.4774376,1163.21475,4882.378652,9009.083577,6331.160514,7071.006209
1,2,BfloR5,CRZ-ext,733.7692688,572.62354,502.4455652,411.1003628,663.2238828,519.2743584,1054.735828,5330.634306,7779.982588,4920.175258,5176.284804
1,3,BfloR5,CRZ-ext,285.777328,304.433796,609.3318132,716.2337668,286.7228988,590.744168,1144.590786,3091.172677,6277.253042,6009.874698,5344.605271
2,3,BfloR5,GnRH,500.0743992,412.51636,537.3673544,394.9881624,429.5669136,483.040832,161.1908,393.1138784,1587.873063,1875.400034,7723.812031
2,4,BfloR5,GnRH,392.5645536,1003.626946,430.1465496,304.8465816,196.8063208,358.1715752,358.19696,428.3181656,1746.534131,2251.15244,6743.259514
2,4,BfloR5,CRZ,661.332984,735.3965016,555.7234736,930.7642504,2056.576693,4441.776597,7645.82185,12332.15525,14014.27506,15586.43773,9580.815977
2,5,BfloR5,CRZ,571.3704752,376.4534264,537.6032056,941.12466,1432.834762,6822.472303,7979.460754,14403.82952,14696.35215,16985.689,15099.28482
2,6,BfloR5,CRZ,642.5991096,645.70338,717.1403552,574.57394,1824.268044,6356.545977,10618.72914,13490.19863,14708.43402,16033.1545,28105.03204
2,4,BfloR5,CRZ-ext,410.97044,574.2988616,537.691256,322.8010824,357.6367104,501.0668296,824.31696,2750.671245,5711.679762,6749.761554,5162.053048
2,5,BfloR5,CRZ-ext,784.9618088,609.0208952,627.3243072,287.3588544,161.1661072,358.3189752,878.53864,1965.791874,5458.901014,5270.286072,5087.140494
2,6,BfloR5,CRZ-ext,321.269796,304.82908,394.1090896,287.2368048,268.5524208,447.62804,716.81668,1286.698567,3247.238016,4499.682671,5386.420482
3,7,BfloR5,CRZ,3143.943726,2480.31254,2446.299786,3969.119646,6109.97566,9271.413434,11130.326,9946.824466,10577.12578,11243.93117,29121.36137
3,8,BfloR5,CRZ,3445.568976,3364.162002,4572.418641,4855.594753,9131.817203,12346.90831,13347.40555,14065.11819,13115.4571,13663.44889,31242.5667
3,9,BfloR5,CRZ,4066.52906,3983.999855,4328.389436,5399.844447,11313.15747,16282.07964,17002.49116,16654.73121,15652.85132,19745.92888,27611.36105
3,7,BfloR5,CRZ-ext,3445.265749,4829.481464,4366.726756,4308.801752,3982.214712,4869.743817,3949.524092,6553.238638,7575.280715,5349.36951,25072.88471
3,8,BfloR5,CRZ-ext,3915.658779,4304.021306,4857.630968,4742.432729,4325.254674,5095.809071,4467.355923,6926.400019,8034.181392,5968.5806,23319.97958
3,5,BfloR5,GnRH,2428.514969,4865.096475,4892.761333,4705.277768,4791.367388,6725.176817,10945.94812,15327.95087,11683.94409,13392.05884,26452.26387
